id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,pass_2pt,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fumbles,pat_made,fg_miss,fg_0_39,fg_40_49,fg_50_59,fg_60_plus,sack,blk_kick,def_int,fumble_recovery,safety,krt_td,prt_td,int_ret_td,fum_ret_td,blk_kick_ret_td,two_pt_ret,one_pt_safety
sleeper:11655,Tyrone Tracy,RB,NYG,14,69.9,0,0,0,0,459.0,3.0,0,18.0,135.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12501,Matthew Golden,WR,GB,5,71.8,0,0,0,0,57.0,0,0,53.0,701.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11620,Rome Odunze,WR,CHI,5,72.9,0,0,0,0,6.0,0,0,62.0,891.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:1466,Travis Kelce,TE,KC,10,73.1,0,0,0,0,1.0,0,0,64.0,651.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7611,Rhamondre Stevenson,RB,NE,14,73.7,0,0,0,0,799.0,6.0,1.0,31.0,225.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13281,Jordyn Tyson,WR,,,73.8,0,0,0,0,11.0,0,0,69.0,859.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11638,Ricky Pearsall,WR,SF,14,74.3,0,0,0,0,19.0,0,0,59.0,819.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9484,Tucker Kraft,TE,GB,5,74.5,0,0,0,0,3.0,0,0,64.0,728.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7553,Kyle Pitts,TE,ATL,5,76.2,0,0,0,0,0,0,0,65.0,741.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5947,Jakobi Meyers,WR,JAX,8,76.8,0,0,0,0,28.0,0,0,64.0,732.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12534,Kyle Monangai,RB,CHI,,78.8,0,0,0,0,751.0,6.0,2.0,22.0,154.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7049,Jauan Jennings,WR,FA,,82.5,0,0,0,0,0,0,0,48.0,601.0,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:10232,Michael Wilson,WR,ARI,,82.6,0,0,0,0,6.0,0,0,61.0,788.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12508,Jaxson Dart,QB,NYG,,82.8,3366.0,23.0,12.0,1.0,539.0,6.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:13294,Makai Lemon,WR,,,83.2,0,0,0,0,11.0,0,0,66.0,843.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7021,Rico Dowdle,RB,PIT,,83.2,0,0,0,0,593.0,4.0,0,36.0,260.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:2449,Stefon Diggs,WR,FA,,83.4,0,0,0,0,6.0,0,0,63.0,725.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5012,Mark Andrews,TE,BAL,7,84.5,0,0,0,0,11.0,1.0,0,58.0,617.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4663,Austin Ekeler,RB,FA,,84.7,0,0,0,0,118.0,1.0,0,9.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:3294,Dak Prescott,QB,DAL,10,85.3,4292.0,31.0,13.0,2.0,152.0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6797,Justin Herbert,QB,LAC,12,85.7,3920.0,27.0,10.0,1.0,345.0,3.0,1.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11586,Blake Corum,RB,LAR,,86.7,0,0,0,0,757.0,6.0,0,14.0,97.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
